[2023-12-01 14:08:09] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:10:00] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:10:24] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:10:59] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:11:24] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:11:34] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:11:51] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:12:20] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:18:23] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:20:42] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:21:26] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:22:04] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:22:53] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:23:17] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:23:58] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:24:46] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:26:44] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:27:02] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:27:27] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:28:01] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:28:21] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:29:04] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:30:12] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:30:29] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:31:20] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:44:53] 	 [user: -] 	 [staff user: -] [/books/addasdasd]]
[2023-12-01 14:45:20] 	 [user: -] 	 [staff user: -] [/books/add]]
[2023-12-01 14:52:35] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 14:53:12] 	 [user: -] 	 [staff user: -] [/books/edit/asd]]
[2023-12-01 14:53:15] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 14:53:19] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 14:53:37] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 14:53:40] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 14:56:02] 	 [user: -] 	 [staff user: -] [/books/edit/asd]]
[2023-12-01 14:56:09] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 14:56:14] 	 [user: -] 	 [staff user: -] [/books/edit/1]]
[2023-12-01 15:24:30] 	 [user: -] 	 [staff user: -] [/libraries/]]
[2023-12-01 15:28:12] 	 [user: -] 	 [staff user: -] [/libraries/add]]
[2023-12-01 15:28:18] 	 [user: -] 	 [staff user: -] [/libraries/add]]
[2023-12-01 15:33:14] 	 [user: -] 	 [staff user: -] [/libraries/edit/asd]]
[2023-12-01 15:33:17] 	 [user: -] 	 [staff user: -] [/libraries/edit/1]]
[2023-12-06 14:21:00] 	 [user: -] 	 [staff user: -] [/api/books/add]]
[2023-12-06 14:21:00] 	 [user: -] 	 [staff user: -] [/favicon.ico]]
[2023-12-06 14:21:02] 	 [user: -] 	 [staff user: -] [/api/books/add]]
